key,en,es,fr,de
bamm_ammoDepleted_caption_00,"弾薬が枯渇しました！ 再合成までお待ちください。","¡Munición agotada! Espera a que se resintetice.","Plus de munitions ! Attendez la nouvelle synthèse.","Munition aufgebraucht! Bitte halte dich für die Neusynthese bereit."
bamm_ammunition_caption_00,ブライアン・インダストリーズの弾薬合成技術の進歩により、ありえない環境に無造作に置かれた都合のいい弾薬を拾い集める必要はもうありません。,"Los avances en la tecnología de síntesis de munición de Industrias Brian te liberan de la molestia de tener que encontrar munición real convenientemente amontonada y sin protección en lugares aleatorios.","Les avancées dans la technologie de synthèse de munitions de Brian Industries vous évitent de dépendre de paquets de munitions réelles non protégées dans des environnements improbables.","Dank der fortschrittlichen Munitionssynthesetechnologie von Brian Industries bist du nicht mehr auf Haufen scharfer Munition angewiesen, die unbewacht in unwahrscheinlichen Umgebungen liegen."
bamm_ammunition_caption_01,その代わり、弾薬は時間経過と共に自動的に合成されます。,"En su lugar, la munición se sintetiza de manera continua con el paso del tiempo.","Au lieu de cela, les munitions sont synthétisées au fil du temps.","Stattdessen wird die Munition im Laufe der Zeit immer wieder neu synthetisiert."
bamm_coma_wakeup_caption_00,瀕死の状況を脱しました。おかえりなさい！,"¡Bienvenida, casi la palmas!","Bon retour parmi les vivants !","Willkommen zurück vom Nahtod!"
bamm_coma_wakeup_caption_01,治療のために誘発された昏睡状態になってから75時間が経過しました。,"Has estado en un coma médicamente inducido durante setenta y cinco horas para ayudarte a recuperarte.","On vous a placé en coma artificiel pendant soixante-quinze heures pour vous aider à récupérer.","Du warst fünfundsiebzig Stunden lang in einem künstlichen Koma, um dich zu erholen."
bamm_coma_wakeup_caption_02,1件のメッセージを受信しています。3日前のメッセージです。,"Has recibido un mensaje hace tres días.","Vous avez reçu un message, il y a trois jours.","Du hast eine Nachricht erhalten, vor drei Tagen."
bamm_connection_caption_00,接続を再確立しました。,"Conexión restablecida.","Connexion rétablie.","Verbindung wiederhergestellt."
bamm_encyclopedia_caption_00,BAMMに組み込まれた「エンサイクロペディア・ブリアニカ」は、遭遇したエンティティに関するすべての関連情報を収録する図鑑システムです。,"La Enciclopedia Briannica integrada en el BAMM contiene toda la información relevante sobre las especies conocidas.","L'encyclopédie intégrée Briannica du BBAM contient toutes les informations pertinentes sur les entités rencontrées.","Die integrierte Enzyklopädie Briannica von BAMM enthält alle relevanten Informationen zu den angetroffenen Entitäten."
bamm_fullHealth_caption_00,ヘルスが全快しました。,"Vida recuperada completamente.","Santé restaurée.","Volle Gesundheit wiederhergestellt."
bamm_hypercube_caption_00,神聖なる幾何学、ハイパーキューブに永遠の栄光を。,"Gloria eterna al Hipercubo, la forma geométrica divina.","Gloire éternelle à l'hypercube, la géométrie divine.","Ewige Ehre dem Hyperwürfel, der göttlichen Geometrie."
bamm_hypercube_caption_01,我らが領域にヴォイドの輝きを導きたまえ。,"Que lleve el brillo del vacío a nuestro reino.","Qu'il transmette la brillance du néant dans notre royaume.","Möge er den Glanz der Leere in unser Reich tragen."
bamm_inhospitable_caption_00,過酷な環境を検出しました。できるだけ早く生存可能な場所に戻ってください。,"Entorno inhóspito detectado. Dirígete a un dominio habitable lo antes posible.","Environnement inhospitalier détecté. Retournez au domaine habitable dès que possible.","Unwirtliche Umgebung entdeckt. Bitte kehre so schnell wie möglich in den bewohnbaren Bereich zurück."
bamm_inventory_caption_00,BAMMのインベントリ管理システムは、所持品を常に表示します。,"El sistema de gestión de inventario del BAMM siempre te permitirá saber lo que llevas encima.","Le système de gestion d'inventaire du BBAM vous informera toujours de ce que vous transportez.","Mit dem BAMM-Inventarverwaltungssystem weißt du immer, was du in deinem Lager hast."
bamm_lowhealth_caption_00,警告、ヘルスが低下しています。,"Cuidado, te queda poca vida.","Attention, niveau de santé bas.","Warnung, niedrige Gesundheit."
bamm_offlinemode_caption_00,リモートコマンドの切断を検出しました。自立モードに移行します。,"Se ha detectado una interrupción del control remoto. Entrando en modo autónomo.","Interruption des commandes à distance détectée. Mode autonome activé.","Abbruch des Fernsteuerungsbefehls erkannt. Wechsel in den autonomen Modus."
bamm_offlinemode_caption_01,自立モードの読み込みが完了しました。BAMMへようこそ！,"Carga del modo autónomo finalizada. ¡El BAMM te da la bienvenida!","Chargement du mode autonome effectué. Bienvenue dans BBAM !","Der autonome Modus wurde fertig geladen. Willkommen bei BAMM!"
bamm_offlinemode_caption_02,未知の生命体、ロケーション、武器、政治団体、哲学的概念は自動的にスキャンして図鑑に登録されます。,"Las formas de vida, ubicaciones, armas, grupos políticos y conceptos filosóficos desconocidos se escanearán y se introducirán en la Enciclopedia automáticamente.","Les formes de vie, lieux, armes, groupes politiques et concepts philosophiques inconnus seront scannés et ajoutés automatiquement à l'encyclopédie.","Unbekannte Lebensformen, Orte, Waffen, politische Gruppen und philosophische Konzepte werden gescannt und automatisch in die Enzyklopädie aufgenommen."
bamm_offlinemode_caption_03,医療およびテレポートサービスは正常に機能します。残念ながら、ネットワークと通信はオフラインです。,"Los servicios médicos y de teletransportación funcionarán con normalidad. Desafortunadamente, el acceso a la red y las comunicaciones no están operativos.","Les services médicaux et de téléportation fonctionneront normalement. En revanche, l'accès au réseau et la communication sont hors ligne.","Medizinische und teleportative Dienste funktionieren normal. Leider sind der Netzwerkzugang und die Kommunikation offline."
bamm_shutdown_caption_00,領域間転移が完了しました。BAMMの任務が達成されました。,"Transferencia entre mundos realizada. Función del BAMM realizada.","Transfert de royaume terminé. Mission BBAM accomplie.","Reich-Übertragung abgeschlossen. BAMM-Pflicht erfüllt."
bamm_shutdown_caption_01,永久シャットダウンを開始します。,"Iniciando apagado permanente.","Initiation de la fermeture définitive.","Einleiten der endgültigen Abschaltung."
bamm_signalbreakthrough_caption_00,"警告: シグナルが干渉しています！","Alerta: ¡La señal se ha abierto camino!","Alerte : interception du signal !","Achtung: Signaldurchbruch!"
bamm_trauma_caption_00,BAMMの技術は、肉体的なトラウマが一時的なものであることを保証します。,"La tecnología del BAMM garantiza que los traumas físicos son solo temporales.","La technologie du BBAM garantit que les traumatismes physiques sont temporaires.","Die BAMM-Technologie sorgt dafür, dass das körperliche Trauma nur vorübergehend ist."
bamm_trauma_caption_01,しかし、致命的なダメージを繰り返し受けることによる心理的な影響は半永久的に持続します。,"Sin embargo, el impacto psicológico de recibir repetidamente heridas mortales será permanente.","L'impact psychologique de blessures fatales répétées, en revanche, semble permanent.","Die psychologischen Auswirkungen der wiederholten tödlichen Verletzungen werden jedoch dauerhaft sein."
bamm_underwater_caption_00,BAMMの分子フィルターが必要に応じて水から酸素を抽出し、,"Los filtros moleculares del BAMM te permiten mantenerte con vida bajo el agua cuando sea necesario:","Les filtres moléculaires du BBAM vous permettent de rester en vie sous l'eau si nécessaire.","Die molekularen Filter von BAMM ermöglichen es dir, unter Wasser am Leben zu bleiben, wenn es nötig ist,"
bamm_underwater_caption_01,あなたの血中へ直接供給することで水中での生存が可能となります。,"extraen oxígeno del agua y lo distribuyen directamente en tu torrente sanguíneo.","Extraction de l'oxygène de l'eau et déploiement direct dans votre système sanguin.","sie entziehen dem Wasser Sauerstoff und geben ihn direkt an deinen Blutkreislauf ab."
bamm_userdeath_caption_00,緊急事態。ユーザーの死が迫っています。,"Emergencia. Muerte del usuario inminente.","Urgence. Mort imminente de l'utilisatrice.","Notfall. Tod des Benutzers steht bevor."
bamm_welcome_startup_caption_00,新しいユーザーを検出。B.A.M.M.へようこそ！,"Nuevo usuario detectado. ¡Te damos la bienvenida al B.A.M.M.!","Nouvelle utilisatrice détectée. Bienvenue dans B.B.A.M. !","Neuer Benutzer entdeckt. Willkommen bei B.A.M.M.!"
bamm_welcome_startup_caption_01,バイオメトリクスの初期化中。致命的な行動を起こすまで10分お待ちください。,"Iniciando biometría. Espera hasta diez minutos antes de participar en actividades generalmente mortales.","Initiation de la biométrie. Patientez dix minutes avant de vous livrer à des activités généralement fatales.","Biometrie einleiten. Bitte warte bis zu zehn Minuten, bevor du dich an normal tödlichen Aktivitäten beteiligst."
chapternum,"チャプター {0}","Capítulo {0}",Chapitre {0},"Kapitel {0}"
character_brian_stats,"- Faster movement
- Ammo + health pickups
- No health replenishing or ammo synthesizer
","- Movimiento más rápido
- Recoge objetos para recuperar vida y munición
- Sin recuperación de vida ni sintetizador de munición","- Déplacement plus rapide
- Munitions + kits de santé
- Ne restaure pas la santé ni le synthétiseur de munitions","- Schnellere Bewegung
 - Munition + Gesundheits-Pick-ups
 - Keine Gesundheitsauffüllung oder Munitionssynthesizer"
character_brian_subtitle,"Boomer Shooter","Tirador de la vieja escuela","Tireur boomer",Boomer-Shooter
character_nani,Nani,Nani,Nani,Nani
character_nani_stats,"- Levitation
- Telekinesis
- Magic attacks
- Higher recoil","- Levitación
- Telequinesis
- Ataques mágicos
- Mayor retroceso","- Lévitation
- Télékinésie
- Attaques magiques
- Recul plus élevé","- Levitation
 - Telekinese
 - Magische Angriffe
 - Höherer Rückstoß"
character_nani_sub,"Psychic Damage","Daño psíquico","Dégâts psychiques","Psychischer Schaden"
character_officer13,"Officer 13","Oficial 13",Agent 13,"Officer 13"
character_officer13_stats,"- Higher Health
- Holographic HUD with enemy health + damage stats","- Más vida
- Interfaz holográfica en la que figuran el daño y la vida del enemigo","- Santé plus élevée
- ATH holographique avec santé de l'ennemi + stats de dégâts","- Höhere Gesundheit
 - Holografisches HUD mit gegnerischen Lebens- und Schadensstatistiken"
character_officer13_sub,"Lucky 13","13 de la suerte","13 porte-bonheur","Lucky 13"
character_sonja,Sonja,Sonja,Sonja,Sonja
character_sonja_stats,"Default gameplay","Modo de juego predeterminado","Options de jeu par défaut",Standard-Gameplay
character_sonja_sub,"Canon Protagonist","Protagonista oficial","Protagoniste canonique","Kanonischer Protagonist"
credits_bhaptics,"BHaptics integration
by Florian Fahrenberger","Integración con bHaptics
Florian Fahrenberger","Intégration BHaptics
de Florian Fahrenberger","BHaptics Integration
 von Florian Fahrenberger"
