key,ja
bamm_ammoDepleted_caption_00,弾薬が枯渇しました！ 再合成までお待ちください。
bamm_ammunition_caption_00,ブライアン・インダストリーズの弾薬合成技術の進歩により、ありえない環境に無造作に置かれた都合のいい弾薬を拾い集める必要はもうありません。
bamm_ammunition_caption_01,その代わり、弾薬は時間経過と共に自動的に合成されます。
bamm_coma_wakeup_caption_00,瀕死の状況を脱しました。おかえりなさい！
bamm_coma_wakeup_caption_01,治療のために誘発された昏睡状態になってから75時間が経過しました。
bamm_coma_wakeup_caption_02,1件のメッセージを受信しています。3日前のメッセージです。
bamm_connection_caption_00,接続を再確立しました。
bamm_encyclopedia_caption_00,BAMMに組み込まれた「エンサイクロペディア・ブリアニカ」は、遭遇したエンティティに関するすべての関連情報を収録する図鑑システムです。
bamm_fullHealth_caption_00,ヘルスが全快しました。
bamm_hypercube_caption_00,神聖なる幾何学、ハイパーキューブに永遠の栄光を。
bamm_hypercube_caption_01,我らが領域にヴォイドの輝きを導きたまえ。
bamm_inhospitable_caption_00,過酷な環境を検出しました。できるだけ早く生存可能な場所に戻ってください。
bamm_inventory_caption_00,BAMMのインベントリ管理システムは、所持品を常に表示します。
bamm_lowhealth_caption_00,警告、ヘルスが低下しています。
bamm_offlinemode_caption_00,リモートコマンドの切断を検出しました。自立モードに移行します。
bamm_offlinemode_caption_01,自立モードの読み込みが完了しました。BAMMへようこそ！
bamm_offlinemode_caption_02,未知の生命体、ロケーション、武器、政治団体、哲学的概念は自動的にスキャンして図鑑に登録されます。
bamm_offlinemode_caption_03,医療およびテレポートサービスは正常に機能します。残念ながら、ネットワークと通信はオフラインです。
bamm_shutdown_caption_00,領域間転移が完了しました。BAMMの任務が達成されました。
bamm_shutdown_caption_01,永久シャットダウンを開始します。
bamm_signalbreakthrough_caption_00,警告: シグナルが干渉しています！
bamm_trauma_caption_00,BAMMの技術は、肉体的なトラウマが一時的なものであることを保証します。
bamm_trauma_caption_01,しかし、致命的なダメージを繰り返し受けることによる心理的な影響は半永久的に持続します。
bamm_underwater_caption_00,BAMMの分子フィルターが必要に応じて水から酸素を抽出し、
bamm_underwater_caption_01,あなたの血中へ直接供給することで水中での生存が可能となります。
bamm_userdeath_caption_00,緊急事態。ユーザーの死が迫っています。
bamm_welcome_startup_caption_00,新しいユーザーを検出。B.A.M.M.へようこそ！
bamm_welcome_startup_caption_01,バイオメトリクスの初期化中。致命的な行動を起こすまで10分お待ちください。
chapternum,チャプター {0}
character_brian,ブライアン
character_brian_sub,レトロシューター
character_brian_stats,"- 高速移動
- 弾薬と回復のアイテムドロップ
- 自動回復と弾薬合成は無効化"
character_brian_subtitle,レトロシューター
character_nani,ナニー
character_nani_stats,"- 空中浮遊
- テレキネシス
- 魔法攻撃
- 大きな反動"
character_nani_sub,サイキックダメージ
character_nani_help,"空中浮遊はジャンプボタンを押したままにして発動。オプションでジャンプ機能を有効にしておく必要がある。

テレキネシスを発動するには、オブジェクトに向かって手を伸ばしてトリガーを引き、オブジェクトを引き寄せるように手首を振る。

魔法攻撃を発動するには、素手でトリガーを引き、投げる動作をしながらトリガーを放す。 (マナを1消費)

魔法バリアを発動するには、素手でトリガーを引き、その手を身体の前で円形に動かす。 (マナを5消費)

マナは倒したエネミーから回収できる。これはあくまでゲームプレイ上の都合であって、実際のナニーは敵対者の血肉から魔力を得ている訳ではない。"
character_officer13,オフィサー13
character_officer13_stats,"- ヘルス増加
- ホログラフィックHUD
- 補給品投下"
character_officer13_sub,ラッキー・サーティーン
character_officer13_help,"敵を倒してプランクポイント(PP)を取得。

ポーズメニューでPPを払うことで補給品が投下される。"
character_sonja,ソニア
character_sonja_stats,標準のゲームプレイ
character_sonja_sub,正統主人公
credits_bhaptics,"BHaptics integration
by Florian Fahrenberger"
credits_cast1,"Brian
Therus
Sylvia
Officer 13
BAMM voice
Dying Alien
Planck Announcer
Hideous Growth
Nani
Saplord
Holy Soldiers / Qonik
Holy Guard
Rebel villagers
Church Villagers
Maharishi Ghronto
General Sintho
Rebel Soldier (male)
Rebel Soldier (female)
L'resa
Gentlehand
Worker Bots / The Seer
Emilia Planck
Henrique
Security Bots"
credits_castTitle,Cast:
credits_characterunlock,{0}でプレイできるようになりました
credits_concepts,"Concepts by:

Errol Bucy
George Eracleous
Zach Tsiakalis-Brown"
credits_continue,Continue ({0})
credits_crest,"Crest Ocean System
by Wave Harmonic"
credits_fractal,"Fractal Shader
by Mikael Christensen
@SyntopiaDK"
credits_guestcharacters,"Guest Character Design:

Winter Cochran
Lee Truman"
credits_nasa,"Earth Textures via NASA Visible Earth
Space skybox via NASA/Goddard Space Flight Center Scientific Visualization Studio
"
credits_newgameplus,ニューゲーム+で遊べるようになりました。
credits_specialthanks,Special Thanks:
credits_thanks,Thanks for playing!
credits_vocals,"Theme Song Vocals
by Lea Cappelli"
credits_zach,"Code
Art
Music
Sound
& Writing
by:

Zach Tsiakalis-Brown"
credits_alphaTitle,Alpha Testers:
credits_betaTitle,Beta Testers:
elevator_controls,エレベーター制御装置
elevator_denied_security,"アクセス拒否

セキュリティ活動を検知しました"
elevator_denied_weight,"アクセス拒否

エレベーター重量超過"
elevator_materials,"素材処理区画
アクセス"
enc_182-kappa,182-カッパ
enc_182-kappa_desc,地球の生物圏は厚い雲と地熱エネルギーによって大きく異なったものとなっている。日光よりも、地熱エネルギーや鉱物に依存する生態系を生み出した。
enc_182-kappa_stats,クラス: ゼノコンシミラー
enc_182-kappa_sub,火山の冬
enc_201-meyer,201-マイヤー
enc_201-meyer_desc,<link=0>ジェントルハンド</link>の出身。首からは頭の代わりに手首が生えている人間は、一般的にハンド人として知られている。地球の発展はアルファ・ドミシリウムよりわずかに遅れているが、それでもヴェトス-4よりは遥かに進んでいる。
enc_201-meyer_stats,クラス: ゼノプロクシマル
enc_201-meyer_sub,お上手
enc_202-meyer,202-マイヤー
enc_202-meyer_desc,"<link=0>ジェントルハンド</link>のホームワールドの進化が遅れたバージョン。原始ハンド人の起源宇宙。

202-マイヤーから来た多くの生物に、放射能汚染と発達不全が見られる。過去200年以内に大惨事があり、生態系に影響したものと見られる。"
enc_202-meyer_stats,分類: ゼノプロクシマル
enc_202-meyer_sub,戦争は変わらない
enc_438-eurydice,438-エウリュディケ
enc_438-eurydice_desc,温暖で湿潤な地球で、石炭紀のような生態系が広がっている。広大で深い湿地に覆われ、様々な種類のグレムリンが生息しているだけでなく、リアクター周辺で見られる多種多様な生命も存在している。
enc_438-eurydice_stats,クラス: ゼノコンシミラー
enc_438-eurydice_sub,グレムリングローブ
enc_acid_handyman,アシッドハンド人
enc_acid_handyman_desc,"強力な酸性の液体を分泌する、原始ハンド人の珍しい突然変異体。青いハンド人よりも危険で、投げた酸は遠くの敵まで届く。

酸によって自身の肌も焼かれ、炭のように黒い色をしている。気持ちがいいものではないだろう。"
enc_acid_handyman_stats,"学名: テクビ・インサピエンス
起源宇宙: <link=0>202-マイヤー</link>
分類: FA-H:5"
enc_acid_handyman_sub,すっぱい
enc_æther,ヱーテル
enc_æther_desc,"ヱーテルが初めて発見された並行宇宙の一つであることは、その異常な性質を考えると奇妙なことだ。未知の光源から常に光を浴びている真っ白で広大な空間。地球と同様の大気と重力を有しているにもかかわらず、地面は全く歪曲していないことが実験から明らかになり、これは無限平面を示唆している。

多種多様な生物が生息しており、遺伝的な類似性はほとんど見られない。特に注目すべきは優占種である知的生命体の<link=0>ヱーテルバック</link>で、原始的な部族や遊牧民が存在する。

その特異な構成と次元連続体内の主要な位置づけから、ヱーテルは未知の人工構造物であると推測されている。繁栄した古代文明の痕跡も見つかっているが、遠い昔に滅びてしまったようだ。"
enc_æther_stats,クラス: スカール・ディスハーモニック
enc_æther_sub,忘らるる牢獄
enc_ætherback,ヱーテルバック
enc_ætherback_desc,"豊かな知性を持ちながらも無慈悲なヱーテルバックは、高度な弓矢で武装していることが多く、群れになって危険な獲物を狩ることを何よりも楽しんでいる。分散した神経系と無数の眼を守るようにアーマープレートを着ており、弱点らしい弱点はない。

彼らの故郷であるエーテルは食糧に乏しく、定期的に獲物を求めて移住する遊牧文化が根ざしている。

知性を持つ希少な種族で、クォンタムリアクター内においては小さな集落を形成することが知られている。しかし他種族とのコミュニケーションには興味を示さないため、近づくのは得策ではない。"
enc_ætherback_stats,"学名: ヱーテリアン・サピエンス
起源宇宙: <link=0>ヱーテル</link>
分類: FA-H:5-S"
enc_ætherback_sub,終末の予兆
enc_ætherian_quad-bow,エーテリアン・クアッドボウ
enc_ætherian_quad-bow_desc,"原始的な作りの弓だが、恐ろしい威力を発揮する。エーテルバックたちはエーテル遺跡から探し出した技術の断片を弓に組み込んだ。それによって、少量のヴォイドエネルギーを含んだ矢が放たれる。

未開の文明であるにも関わらず、この弓はエーテルバックのほぼすべての部族で見られる。"
enc_ætherian_quad-bow_stats,"クラス: 弓
メーカー: <link=0>ヱーテルバック</link>の部族
発射体: ヴォイドを帯びた矢"
enc_ætherian_quad-bow_sub,狩人を狩る者
enc_airfish,エアーフィッシュ
enc_airfish_desc,エアーフィッシュは、脳を持つ動物の中でも最も受動的なものの一つだ。危険を察知するための退化した眼を持っているが、上下に漂うことでしか身を守れない。やや危険度が高い<link=1>ジェリーアイ</link>と密接に関連している。
enc_airfish_stats,"学名: ハデスフウセンウオ
起源宇宙: <link=0>F-18-ハデス</link>
分類: FA-H:0"
enc_airfish_sub,儚い命
enc_ak47,AK-47
enc_ak47_desc,なぜブルジョアジーのレーザーやプラズマボルトを使う必要がある？ プロレタリア・バレットで事足りるではないか。AK-47こそが人民の武器だ。
enc_ak47_stats,"クラス: バトルライフル
メーカー:<link=0>オートマタ・コレクティブ</link>
発射体: 弾丸"
enc_ak47_sub,反逆の定番
enc_alien-infested_caves,エイリアンの巣食う洞窟
enc_alien-infested_caves_desc,施設内に出現するエイリアンはセキュリティによって排除されるが、リアクターの近くに位置する洞窟内で物質転移現象が発生しエイリアンが現れることもある。プランクのセキュリティがいないため、そこなら生命が繁殖できるのだ。異なる並行宇宙からやってきた生命体たちは互いに適応しあい、長年に渡って地下に豊かな生態系が形成している。
enc_alien-infested_caves_stats,ロケーション: <link=0>PITS付近</link>
enc_alien-infested_caves_sub,生命に不可能はない
enc_altershock_revolver,オルターショック・リボルバー
enc_altershock_revolver_desc,"スペースカウボーイの標準装備であるオルターショックは、強力で精度に優れた6連発拳銃だ。可動部分が少ないため、高度なプラズマ武器よりも耐久性がある。素早く引き金を引き、レーザーチューブを数回クラックするだけで、貴重なワーム・ベイビーを奪おうとする盗賊を撃退できる。

武器自体が小型であるのに対し、大容量バッテリー型のマガジンから大量の電力を供給するため、バレルの溶解を防ぐために射撃間隔を長く取る必要がある。

プランクのセキュリティ部隊における<link=1>上級オフィサー</link>の標準的なサイドアーム。"
enc_altershock_revolver_stats,"クラス: 高精度拳銃
メーカー: <link=0>フロストバイト・アーマメント</link>
発射体: レーザー"
enc_altershock_revolver_sub,バッテリーを口に入れてはいけません
enc_annihilator_prototype,アナイアレイター・プロトタイプ
enc_annihilator_prototype_desc,"アナイアレイターという傑作の、未成熟で粗野なプロトタイプ。後続モデルよりも強力だが、有効射程距離は非常に短い。

反物質容器の設計が雑で、壊滅的な誤発射を引き起こすことがある。

非常にクールなダブルバレルだが、それぞれ個別にリロードをする必要があり、弾薬の消費も早い。"
enc_annihilator_prototype_stats,"クラス: ショットガン
メーカー: <link=0>ブライアン・インダストリーズ</link>
発射体: 反物質"
enc_annihilator_prototype_sub,スーパーショットガン
enc_annihilator_shotgun,アナイアレイター・ショットガン
enc_annihilator_shotgun_desc,"アナイアレイター(殲滅者)ショットガンは、反物質の散弾を発射するユニークなポンプアクションショットガンだ。近距離においては想像を絶する威力を発揮するが、ペレットは空中で融解してしまうため、遠距離戦ではそれほどダメージを与えられない。

弾薬は極めて慎重に扱う必要がある。非常に不安定な反物質弾丸を含む小さな磁気ボトルは、強い衝撃を加えると爆発する可能性がある。

このモデルはブライアンが設計したアナイアレイターシリーズの第3世代だ。まだ実験段階ではあるが、従来のモデルより遥かに洗練されている。(そして爆発の危険性も少なくなっている)"
enc_annihilator_shotgun_stats,"クラス: ショットガン
メーカー: <link=0>ブライアン・インダストリーズ</link>
発射体: 反物質"
enc_annihilator_shotgun_sub,名は体を表す
enc_archyosathus,アーキヨサタス
enc_archyosathus_desc,"800メートル以上の長さを誇る半水棲の大蛇アーキヨサタスは、<link=1>センチポッド</link>のような他の巨大な生物と縄張り争いをすることがある。一生の大半を休眠状態で過ごすが、獲物を追跡するときは驚異的なスピードとスタミナを見せる。

リアクター付近には1匹しか生息していないことが判明している。"
enc_archyosathus_stats,"学名: アーキヨサタス・タイタヌス
起源宇宙: <link=0>B6454</link>
分類: FA-H:9"
enc_archyosathus_sub,深淵の大蛇
enc_automata_collective,オートマタ・コレクティブ
enc_automata_collective_desc,"数十年にも渡る抑圧的な支配の下で、貧しい労働ロボットたちは平等と革命の思想に取り憑かれるようになった。彼らは宗教的な抑圧のシンボルであった道具を捨て、革命の武器を手に取ったのだ。

文化的なアイデンティティを必要とした彼らは、人間の歴史に関する資料を見つけると、ソビエト連邦の言葉と文化を雑に真似るようになった。

<link=2>オートニカ</link>の地下洞窟で平等と自由を探し求める彼らの前に立ちふさがるのは<link=1>ハイパーキューブ教会</link>だけだ。"
enc_automata_collective_stats,"創設者: <link=0>シントー将軍</link>
創設年: 2013
現在のリーダー: <link=0>シントー将軍</link>"
enc_automata_collective_sub,"Рабочие мира, объединяйтесь! ☭"
enc_autonica,オートニカ
enc_autonica_desc,"オートニカはグレートオーシャンの南岸に位置する都市で、プランクのセキュリティロボットの一団を離反させた<link=1>啓示者</link>によって設立された。そこに暮らすオートニカンたちは、資源をリアクターからかき集めたり付近の洞窟で採掘して、原野に都市を築き上げた。解放の泉と呼ばれる川は都市を二分する形で流れ、グレートオーシャンへとつながっている。

最近では内戦による分裂が発生している。<link=2>オートマタ・コレクティブ</link>の反乱軍が<link=3>教会</link>による社会構造に反発して戦争を起こしたのだ。両陣営の戦力は拮抗しており、どちらも相手に服従するくらいなら死を選ぶ覚悟を持っている。

東側は<link=4>シントー将軍</link>率いる共産主義の反乱軍が占拠している。西側は<link=5>聖なるハイパーキューブの所有者にしてヴォイドの語り手たるグランド・マハリシ・グロント</link>率いるハイパーキューブ教会が統治している。"
enc_autonica_stats,ロケーション: <link=0>グレートオーシャン (南岸)</link>
enc_autonica_sub,ハイパーキューブに祝福されし土地
enc_b6454,B6454
enc_b6454_desc,地球の派生で、完全に水に覆われている。均一な寒冷気候と深い海が<link=0>ビッグクラブ</link>や両生類の蛇、それに<link=1>アーキヨサタス</link>といった巨大な生物を育む。
enc_b6454_stats,クラス: ゼノコンシミラー
enc_b6454_sub,ノーティカ
enc_bamm,BAMM
enc_bamm_desc,"BAMMは<link=0>ブライアン</link>の研究成果の多くを、核エネルギーで動作する一つのウェアラブルデバイスにまとめたものだ。主な機能は生体センサーと医療システムであり、ハーティ・ザ・ハート™ フレンドリー・ライフ・インジケーターは、実際に死の恐怖を持ち合わせる人工意識によって動作している。

しかしヘルスモニタリングと自動治療システムは、その機能の一部に過ぎない。安全性をより向上させたテレポーティング・ソリューションも搭載しており、時空マニピュレータで用いられた危険なワームホールではなく、アルキュビエール式のワープバブルを使用している。

更には統合された長距離通信システム、広範な情報を収録したSSDドライブの図鑑、インベントリトラッカー、弾薬合成機能なども搭載している。"
enc_bamm_stats,"カテゴリー: デバイス
クラス: 個人"
enc_bamm_sub,自己参照
enc_big_crab,ビッグクラブ
enc_big_crab_desc,ただただ巨大なカニ。地球のカニに似ているが、それよりも遥かにデカい。
enc_big_crab_stats,"学名: ブラキュウラ・インゲンス
起源宇宙: <link=0>B6454</link>
分類: FA-H:8"
enc_big_crab_sub,巨大敵性ガニ！
enc_blafaladaciousnesticles,ブラファラダシャスネスティクルズ
enc_blafaladaciousnesticles_desc,"マハリシ・グロントに選ばれし最高の聖戦士のみが手にすることを許される、あらゆる異端者を討ち滅ぼす古代の剣。

高度に精錬された<link=2>ハイパークリスタル</link>を剣の柄に挿入すると剣の先端部分を射出できるようになり、遠くの敵を貫いて破壊的なヴォイドエネルギーの波動を送り込む。

<link=1>聖なるハイパーキューブ</link>の近くにいる場合は、その力を直接引き出すことでリロードは不要になる。そうでない場合、クリスタルは使用時に砕け散ってしまう。"
enc_blafaladaciousnesticles_stats,"クラス: 近接
メーカー: <link=0>マハリシ・グロント</link>
発射体: ヴォイドエネルギー"
enc_blafaladaciousnesticles_sub,祝福されし刃
enc_bonehead,ボーンヘッド
enc_bonehead_desc,"群れでの狩りを得意とするボーンヘッドは、分厚い頭蓋骨と強固で大きい突起を持つ。走ったときの最高速度は恐るべきもので、獲物を一撃で仕留めることも珍しくない。

目がない代わりに優れた聴覚と電気受容器を持ち、効率的な移動と狩りを可能としている。攻撃と防御の役割がすべて頭に集中しているため、その他の部分は非常に弱い一面を持つ。"
enc_bonehead_monarch,ボーンヘッド・モナーク
enc_bonehead_monarch_desc,ボーンヘッドの群れを統べるリーダー。モナーク形態に変化すると骨格が大きく成長し、特徴的な角が生えてくる。それまでと比べて体を覆う装甲の面積が増し、弱点は腹部のみとなる。恐るべきハンター。
enc_bonehead_monarch_stats,"学名: アクリスファロザウルス
起源宇宙: <link=0>182-カッパ</link>
分類: FA-H:7"
enc_bonehead_monarch_sub,ビッグダディ
enc_bonehead_stats,"学名: アクリスファロザウルス
起源宇宙: <link=0>182-カッパ</link>
分類: FA-H:4"
enc_bonehead_sub,吾輩の辞書に、脳挫傷の文字はない
enc_brian,ブライアン
enc_brian_desc,"才能ある科学者であり発明家でもあるブライアンは、これまでの人生において何度もプランクのために働いてきた。いくつかの独自研究が倫理規定違反とみなされてからは、プランクと取り引きして当時建設中のクォンタムリアクターVIIの奥深くに身を隠し、代わりにプランクでの仕事を続けてきた。

2015年、彼はこの取り引きから逃れるために自らの死を偽装して、今は当局とプランクの両方から追われる身だ。安全に研究を続けるために<link=1>ブライアン・インダストリーズ</link>という秘密基地を建設。現在はそこで暮らしており、研究に必要なエネルギーを近くのリアクターから引き出している。"
enc_brian_industries,ブライアン・インダストリーズ
enc_brian_industries_desc,"ブライアンが自身の名前を冠した会社を設立したのは、<link=1>プランク社</link>のクールなロゴがうらやましかったためだ。ブライアン・インダストリーズは主に、ブライアンが平和に実験を行なうために設立された。<link=2>アジト</link>は現在、<link=3>クォンタムリアクターVII</link>内のどこか秘密の場所に位置している。

新しいアジトに移転してから1年ほどが経過し、大きな爆発などがなければブライアンはこのまま腰を落ち着けたいと考えているようだ。"
enc_brian_industries_hq,ブライアン・インダストリーズのアジト
enc_brian_industries_hq_desc,"数年に渡って秘密裏にこの拠点を作り上げたブライアンは、2015年末に自らの死を偽装してここに移り住んだ。彼は自らの研究を進めるために、リアクター施設のすぐそばで電力とネット回線のフリーライドをしている。

ブライアン・インダストリーズは、ブライアンが積極的に取り組んでいるすべての実験とプロジェクトを保有しており、更には射撃場やスイミングプール、ハンガー、拷問部屋、ゲストルームといった標準的な設備まで備えている。"
enc_brian_industries_hq_stats,ロケーション: <link=1>リサイクルセンター</link>
enc_brian_industries_hq_sub,スイートホーム
enc_brian_industries_stats,"創設者: <link=0>ブライアン</link>
創設年: 1967
現在のリーダー: <link=0>未だにブライアン</link>"
enc_brian_industries_sub,ワンマンバンド
enc_brian_stats,"種族: <link=0>人間</link>
年齢: 67
所属: <link=1>ブライアン・インダストリーズ</link>"
enc_brian_sub,唯一にして絶対
enc_carnivine,カーニヴァイン
enc_carnivine_desc,岩の隙間に生える、植物のような生物。洞窟や池沼を好み、その口の射程に入った小動物を捕食する。移動能力は極めて限定的。
enc_carnivine_stats,"学名: ムシトリオオツルバナ
起源宇宙: <link=0>438-エウリュディケ</link>
分類: FA-H:3"
enc_carnivine_sub,ジャンプスケア
enc_centaur,セントール
enc_centaur_desc,"二足歩行の全方位兵器システムであるセントールは、鈍重ではあるものの、プランクの兵器の中でも飛び抜けたパワーと火力を有している。セントールのプラズマキャノンを食らった敵は、たちまち塵と灰になってしまうだろう。装甲も厚く、特に爆発物によるダメージをほぼ無効化してしまうほどだ。

唯一の弱点である頭部を狙うには、それを保護する厚さ1インチもの強化プレキシガラスを破壊しなければならない。"
enc_centaur_stats,"ユニット名: PS-0-C
役割: セキュリティ - 砲兵
メーカー: <link=0>プランク・インターディメンショナル</link>"
enc_centaur_sub,やんちゃ坊主
enc_centipod,センチポッド
enc_centipod_desc,"センチポッドは鋭い歯を持っているが、狩りの際には巨大な触手を使って獲物を締め上げることを好む。

水中と陸上のどちらでも、生活と狩りができる。

プランクのセキュリティによって捕獲・保管されていた個体は、リアクターの激しいサイクルによって拘束が弱まった結果、エレベーターシャフトを通って脱出してしまった。現在の所在は不明。"
enc_centipod_stats,"学名: チロプロカムス・タイタヌス
起源宇宙: <link=0>B6454</link>
分類: FA-H:7"
enc_centipod_sub,ファーストコンタクト
enc_church_of_the_hypercube,ハイパーキューブ教会
enc_church_of_the_hypercube_desc,"教会は、マハリシ・グロントが聖なるハイパーキューブを崇拝し保護するために創設した。他の世界からは隔絶しているため、その信者は<link=1>オートニカ</link>のロボット市民のみで構成されている。グロントはハイパーキューブの力を引き出すことで都市を建設し、自らが指導する教会を作り上げた。また、同じ力を使って作り出した兵士の軍団で平和を守り、ホーリーガードに教会を守らせている。

教会はオートニカにおいて暴力的な支配体制を敷いており、<link=2>反乱</link>が発生するのも驚くべきことではない。"
enc_church_of_the_hypercube_stats,"創設者: <link=0>マハリシ・グロント</link>
創設年: 紀元前28,000年頃
現在のリーダー: <link=0>マハリシ・グロント</link>"
enc_church_of_the_hypercube_sub,不信心者には死を
enc_cleaning_drone,清掃ドローン
enc_cleaning_drone_desc,主に、エイリアンが殺されたり拘束された際に散乱した有機廃棄物を清掃する。物質を蒸発させるための高出力レーザーを装備しているが、挑発されてもそれを武器として使用することはない。
enc_cleaning_drone_stats,"ユニット名: PW-07
役割: 清掃
メーカー: <link=0>プランク・インターディメンショナル</link>"
enc_cleaning_drone_sub,はいはい。
enc_courtesy_bot,おてつだいボット
enc_courtesy_bot_desc,ワーカーボットの一種で、人間がメインフレームに親しみやすいよう仲介するために設計されたもの。リアクター内には既に人間が存在しないため、ほとんどのPW-02ユニットは分解されたり、保管済みになっている。
enc_courtesy_bot_stats,"ユニット名: PW-02
役割: コミュニケーション
メーカー: <link=0>プランク・インターディメンショナル</link>"
enc_courtesy_bot_sub,労働者よ、団結せよ！
enc_cubehead,キューブヘッド
