"key","en","es","fr","de","ja"
"bamm_ammoDepleted_caption_00","Ammunition depleted! Please stand by for resynthesis.","¡Munición agotada! Espera a que se resintetice.","Plus de munitions ! Attendez la nouvelle synthèse.","Munition aufgebraucht! Bitte halte dich für die Neusynthese bereit.",Ammunition depleted! Please stand by for resynthesis.
"bamm_ammunition_caption_00","Advances in Brian Industries Ammunition Synthesis technology frees you from reliance  on convenient piles of live ammunition lying unguarded in improbable environments.","Los avances en la tecnología de síntesis de munición de Industrias Brian te liberan de la molestia de tener que encontrar munición real convenientemente amontonada y sin protección en lugares aleatorios.","Les avancées dans la technologie de synthèse de munitions de Brian Industries vous évitent de dépendre de paquets de munitions réelles non protégées dans des environnements improbables.","Dank der fortschrittlichen Munitionssynthesetechnologie von Brian Industries bist du nicht mehr auf Haufen scharfer Munition angewiesen, die unbewacht in unwahrscheinlichen Umgebungen liegen.",Advances in Brian Industries Ammunition Synthesis technology frees you from reliance  on convenient piles of live ammunition lying unguarded in improbable environments.
"bamm_ammunition_caption_01","Instead, ammunition is continuously synthesized over time.","En su lugar, la munición se sintetiza de manera continua con el paso del tiempo.","Au lieu de cela, les munitions sont synthétisées au fil du temps.","Stattdessen wird die Munition im Laufe der Zeit immer wieder neu synthetisiert.","Instead, ammunition is continuously synthesized over time."
"bamm_coma_wakeup_caption_00","Welcome back from near death!","¡Bienvenida, casi la palmas!","Bon retour parmi les vivants !","Willkommen zurück vom Nahtod!",Welcome back from near death!
"bamm_coma_wakeup_caption_01","You have been in a medically induced coma for seventy-five hours to aid recovery. ","Has estado en un coma médicamente inducido durante setenta y cinco horas para ayudarte a recuperarte.","On vous a placé en coma artificiel pendant soixante-quinze heures pour vous aider à récupérer.","Du warst fünfundsiebzig Stunden lang in einem künstlichen Koma, um dich zu erholen.",You have been in a medically induced coma for seventy-five hours to aid recovery.
"bamm_coma_wakeup_caption_02","You received one message, three days ago. ","Has recibido un mensaje hace tres días.","Vous avez reçu un message, il y a trois jours.","Du hast eine Nachricht erhalten, vor drei Tagen.","You received one message, three days ago. "
"bamm_connection_caption_00","Connection re-established.","Conexión restablecida.","Connexion rétablie.","Verbindung wiederhergestellt.",Connection re-established.
"bamm_encyclopedia_caption_00","BAMM’s integrated Encyclopedia Briannica holds all relevant information regarding encountered entities.  ","La Enciclopedia Briannica integrada en el BAMM contiene toda la información relevante sobre las especies conocidas.","L'encyclopédie intégrée Briannica du BBAM contient toutes les informations pertinentes sur les entités rencontrées.","Die integrierte Enzyklopädie Briannica von BAMM enthält alle relevanten Informationen zu den angetroffenen Entitäten.",BAMM’s integrated Encyclopedia Briannica holds all relevant information regarding encountered entities.
"bamm_fullHealth_caption_00","Full health restored.","Vida recuperada completamente.","Santé restaurée.","Volle Gesundheit wiederhergestellt.",Full health restored.
"bamm_hypercube_caption_00","Glory eternal to the hypercube, the divine geometry. ","Gloria eterna al Hipercubo, la forma geométrica divina.","Gloire éternelle à l'hypercube, la géométrie divine.","Ewige Ehre dem Hyperwürfel, der göttlichen Geometrie.","Glory eternal to the hypercube, the divine geometry. "
"bamm_hypercube_caption_01","May it carry the brilliance of the void into our realm. ","Que lleve el brillo del vacío a nuestro reino.","Qu'il transmette la brillance du néant dans notre royaume.","Möge er den Glanz der Leere in unser Reich tragen.",May it carry the brilliance of the void into our realm.
"bamm_inhospitable_caption_00","Inhospitable environment detected. Please return to habitable domain at your earliest convenience.","Entorno inhóspito detectado. Dirígete a un dominio habitable lo antes posible.","Environnement inhospitalier détecté. Retournez au domaine habitable dès que possible.","Unwirtliche Umgebung entdeckt. Bitte kehre so schnell wie möglich in den bewohnbaren Bereich zurück.",Inhospitable environment detected. Please return to habitable domain at your earliest convenience.
"bamm_inventory_caption_00","BAMM’s inventory management system will always let you know what you’re carrying. ","El sistema de gestión de inventario del BAMM siempre te permitirá saber lo que llevas encima.","Le système de gestion d'inventaire du BBAM vous informera toujours de ce que vous transportez.","Mit dem BAMM-Inventarverwaltungssystem weißt du immer, was du in deinem Lager hast.",BAMM’s inventory management system will always let you know what you’re carrying.
"bamm_lowhealth_caption_00","Warning, low health. ","Cuidado, te queda poca vida.","Attention, niveau de santé bas.","Warnung, niedrige Gesundheit.","Warning, low health. "
"bamm_offlinemode_caption_00","Remote command severance detected. Entering autonomous mode. ","Se ha detectado una interrupción del control remoto. Entrando en modo autónomo.","Interruption des commandes à distance détectée. Mode autonome activé.","Abbruch des Fernsteuerungsbefehls erkannt. Wechsel in den autonomen Modus.",Remote command severance detected. Entering autonomous mode.
"bamm_offlinemode_caption_01","Finished loading autonomous mode. Welcome to BAMM! ","Carga del modo autónomo finalizada. ¡El BAMM te da la bienvenida!","Chargement du mode autonome effectué. Bienvenue dans BBAM !","Der autonome Modus wurde fertig geladen. Willkommen bei BAMM!",Finished loading autonomous mode. Welcome to BAMM!
"bamm_offlinemode_caption_02","Unknown life forms, locations, weapons, political groups, and philosophical concepts will be scanned and entered into Encyclopedia automatically. ","Las formas de vida, ubicaciones, armas, grupos políticos y conceptos filosóficos desconocidos se escanearán y se introducirán en la Enciclopedia automáticamente.","Les formes de vie, lieux, armes, groupes politiques et concepts philosophiques inconnus seront scannés et ajoutés automatiquement à l'encyclopédie.","Unbekannte Lebensformen, Orte, Waffen, politische Gruppen und philosophische Konzepte werden gescannt und automatisch in die Enzyklopädie aufgenommen.","Unknown life forms, locations, weapons, political groups, and philosophical concepts will be scanned and entered into Encyclopedia automatically. "
"bamm_offlinemode_caption_03","Medical and teleportational services will function normally. Unfortunately, network access and communication are offline. ","Los servicios médicos y de teletransportación funcionarán con normalidad. Desafortunadamente, el acceso a la red y las comunicaciones no están operativos.","Les services médicaux et de téléportation fonctionneront normalement. En revanche, l'accès au réseau et la communication sont hors ligne.","Medizinische und teleportative Dienste funktionieren normal. Leider sind der Netzwerkzugang und die Kommunikation offline.","Medical and teleportational services will function normally. Unfortunately, network access and communication are offline. "
"bamm_shutdown_caption_00","Realmic transference complete. BAMM duty fulfilled.","Transferencia entre mundos realizada. Función del BAMM realizada.","Transfert de royaume terminé. Mission BBAM accomplie.","Reich-Übertragung abgeschlossen. BAMM-Pflicht erfüllt.",Realmic transference complete. BAMM duty fulfilled.
"bamm_shutdown_caption_01","Initiating permanent shutdown.","Iniciando apagado permanente.","Initiation de la fermeture définitive.","Einleiten der endgültigen Abschaltung.",Initiating permanent shutdown.
"bamm_signalbreakthrough_caption_00","Alert: Signal breakthough!","Alerta: ¡La señal se ha abierto camino!","Alerte : interception du signal !","Achtung: Signaldurchbruch!",Alert: Signal breakthough!
"bamm_trauma_caption_00","BAMM’s technology ensures physical trauma is just temporary. ","La tecnología del BAMM garantiza que los traumas físicos son solo temporales.","La technologie du BBAM garantit que les traumatismes physiques sont temporaires.","Die BAMM-Technologie sorgt dafür, dass das körperliche Trauma nur vorübergehend ist.",BAMM’s technology ensures physical trauma is just temporary.
"bamm_trauma_caption_01","The psychological impact of repeatedly receiving fatal injuries, however, will be permanent. ","Sin embargo, el impacto psicológico de recibir repetidamente heridas mortales será permanente.","L'impact psychologique de blessures fatales répétées, en revanche, semble permanent.","Die psychologischen Auswirkungen der wiederholten tödlichen Verletzungen werden jedoch dauerhaft sein.","The psychological impact of repeatedly receiving fatal injuries, however, will be permanent. "
"bamm_underwater_caption_00","BAMM’s molecular filters allow you to stay alive underwater when necessary, ","Los filtros moleculares del BAMM te permiten mantenerte con vida bajo el agua cuando sea necesario:","Les filtres moléculaires du BBAM vous permettent de rester en vie sous l'eau si nécessaire.","Die molekularen Filter von BAMM ermöglichen es dir, unter Wasser am Leben zu bleiben, wenn es nötig ist,","BAMM’s molecular filters allow you to stay alive underwater when necessary, "
"bamm_underwater_caption_01","extracting oxygen from the water and deploying it directly to your bloodstream. ","extraen oxígeno del agua y lo distribuyen directamente en tu torrente sanguíneo.","Extraction de l'oxygène de l'eau et déploiement direct dans votre système sanguin.","sie entziehen dem Wasser Sauerstoff und geben ihn direkt an deinen Blutkreislauf ab.",extracting oxygen from the water and deploying it directly to your bloodstream.
"bamm_userdeath_caption_00","Emergency. User death imminent.  ","Emergencia. Muerte del usuario inminente.","Urgence. Mort imminente de l'utilisatrice.","Notfall. Tod des Benutzers steht bevor.",Emergency. User death imminent.
"bamm_welcome_startup_caption_00","New User detected. Welcome to B.A.M.M.!","Nuevo usuario detectado. ¡Te damos la bienvenida al B.A.M.M.!","Nouvelle utilisatrice détectée. Bienvenue dans B.B.A.M. !","Neuer Benutzer entdeckt. Willkommen bei B.A.M.M.!",New User detected. Welcome to B.A.M.M.!
